firstname,lastname,email,username,password,profile_picture,dob,number,role,bio,major,minor,school
Daron,Koch,Daron.Koch@outlook.com,Daron.Koch,pbkdf2:sha512:150000$kusGgCCkRq$32640949f17056cdb8ae3131e89a0d2a25b91b4af0a788efd1584d89773e11d124b18eaab222ea2481a935df36640d04c07978cae249047349c7a818b3902e91,default.png,09/12/2000,876-177-3395,student,"Any element of a tuple can be accessed in constant time. Its main implementation is the Glasgow Haskell Compiler. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",Information Systems,Computer Science,Northern Caribbean University
Gabriele,Willis,Gabriele.Willis@outlook.com,Gabriele.Willis,pbkdf2:sha512:150000$SAa1KjA0vM$acd4bfc57d0775b4c82ceb457b5a6d369b6d3f4386a2f3284f561c2baadf6e268ad54b748f170327ed97bef70b171cf36652c3f87f3c4c20099ad6d8f9004a0a,default.png,06/21/2001,876-019-3730,student,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. He looked inquisitively at his keyboard and wrote another sentence. Erlang is known for its designs that are well suited for systems. Ports are created with the built-in function open_port.",Computer Science,Systems & Network Administration,University of Technology
Hassie,Carney,Hassie.Carney@outlook.com,Hassie.Carney,pbkdf2:sha512:150000$87mrTUYgxZ$85dc3abd9cf0680037b377a50c088a89761968b3b6e5e044cf0563aa22007bca06a4d4443358b2539fcddb754c4ab8f88dedef394be0441221a8c54256ef295c,default.png,02/19/2000,876-075-8299,student,Atoms are used within a program to denote distinguished values. Make me a sandwich. Make me a sandwich. Erlang is known for its designs that are well suited for systems.,Computer Engineering,Computer Engineering,Mico University College
Chung,Reynolds,Chung.Reynolds@outlook.com,Chung.Reynolds,pbkdf2:sha512:150000$4sgvP5cC6K$fe0e04f6658fccda8aad6b8894fe2a20304b304797c8416546d4c754b466659790d0703b17ed8014a0c7d3982513fc16eb5ee0f122794707eb7f524f789c0131,default.png,09/06/1997,876-150-6209,student,"He looked inquisitively at his keyboard and wrote another sentence. Haskell features a type system with type inference and lazy evaluation. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" He looked inquisitively at his keyboard and wrote another sentence.",Information Science,Computer Science,Mico University College
Denese,Vang,Denese.Vang@gmail.com,Denese.Vang,pbkdf2:sha512:150000$wseE9srmI5$706746f7a24734b5f31979ad583911bf08e6f2add03339a563c6d48569c746859a9ab4ba045fa7e6feff3beb20ce750dfab3cedc7404bc777625696ece4ddf65,default.png,01/09/1994,876-074-7000,student,Do you come here often? Ports are used to communicate with the external world. Make me a sandwich. Any element of a tuple can be accessed in constant time.,Systems & Network Administration,Information Technology,University of Technology
Hue,Hutchinson,Hue.Hutchinson@outlook.com,Hue.Hutchinson,pbkdf2:sha512:150000$BaqXortfAu$d10fbc5c623b1bc0d7fa84c0886f235c3b3f2bbfd64f9849d9c43c340ac0a0b92483fc23da7f01e6d19b98a9f8c410a10681990a028d1fd92dfe03d3efb4e8b0,default.png,09/13/1997,876-935-6464,student,"Atoms are used within a program to denote distinguished values. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Ports are used to communicate with the external world.",Information Technology,Systems & Network Administration,University of Technology
Ira,Norton,Ira.Norton@yahoo.com,Ira.Norton,pbkdf2:sha512:150000$HLnhrgX6qx$1382440560110d654af0834b16fadb4bde72dadd15720fca469b4ccdec1f594d9ae9849d5e3004b0189def0fdada5d32a45e508f1935f2ae3a098f3a5ad5dd47,default.png,07/23/2001,876-619-2366,student,"In 1989 the building was heavily damaged by fire, but it has since been restored. Type classes first appeared in the Haskell programming language. She spent her earliest years reading classic literature, and writing poetry. Where are my pants?",Computer Science,Computer Science,Shortwood Teachers College
Audrie,Montgomery,Audrie.Montgomery@gmail.com,Audrie.Montgomery,pbkdf2:sha512:150000$ol7x2jV0UE$350b17b3a9d9f146afb3d929cc7971da83db62fb9c127fc2ee39f4952382d4c1d9abce348bfbb3bed6e6460afc8b64fe94638f7e7bc4efd586d0ef96d58772d3,default.png,03/25/1999,876-570-2563,student,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Do you have any idea why this is not working? Haskell features a type system with type inference and lazy evaluation. Any element of a tuple can be accessed in constant time.",Information Science,Computer Science,St.Joseph Teachers College
Steven,Clarke,Steven.Clarke@gmail.com,Steven.Clarke,pbkdf2:sha512:150000$hey1em7Ffj$54c652badc738d9352cf58d2f26d7546e55f6aad409202c179dbe9e722c36aef138f1f1ba99c0edcfee7604dc153c853c4905962fd6ba7287c0458212b152c5c,default.png,12/08/2002,876-706-5901,student,Where are my pants? He looked inquisitively at his keyboard and wrote another sentence. Haskell features a type system with type inference and lazy evaluation. Any element of a tuple can be accessed in constant time.,Computer Science,Cybersecurity,Mico University College
Ranae,Miles,Ranae.Miles@gmail.com,Ranae.Miles,pbkdf2:sha512:150000$EeQbeNHgF9$177149250e1cafa1aa0f10fe9250bcceaf33614b9c291bec7a482ce4b3541eed1571a517ca45468830e13fed89b9a1e8327a75e4fcff4106dc7b8a0c020c742a,default.png,05/11/2001,876-410-8576,student,"Its main implementation is the Glasgow Haskell Compiler. Where are my pants? The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",Information Science,Information Technology,Northern Caribbean University
Shirley,Sandoval,Shirley.Sandoval@outlook.com,Shirley.Sandoval,pbkdf2:sha512:150000$YqmC9WShcl$151ef0eacc99c4b72f33a652d94625ea1618877bc7c7cc070b24a781cf86bb6ab19b0dad1a3e67f94230beccc6cb727b6b7b75f92cca98b956b9c17c75888097,default.png,05/05/1996,876-689-9745,student,"Its main implementation is the Glasgow Haskell Compiler. Do you have any idea why this is not working? Haskell features a type system with type inference and lazy evaluation. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Computer Engineering,Information Science,Shortwood Teachers College
Willette,Schneider,Willette.Schneider@yahoo.com,Willette.Schneider,pbkdf2:sha512:150000$MLajAeP7Gh$672bf61ef1904ae89ea69b037c28fa94b796f49cd611b3282a435fbb0506b5c48f356131a11d7c9ada38971ca7abbf499d7740016b9137aa9edfb9ba93d6e158,default.png,05/26/1995,876-561-3560,student,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. He looked inquisitively at his keyboard and wrote another sentence. Do you come here often? Haskell features a type system with type inference and lazy evaluation.",Information Science,Computer Science,University of the West Indies
Heide,Singleton,Heide.Singleton@yahoo.com,Heide.Singleton,pbkdf2:sha512:150000$wZtrc30y4k$b03701a7364e52ddad69f0d2429b01327bf2c7046714359e1673d9ac11786a0fdafbc87de9ce1efb0bf2d58ac0b0bc8f6ac43a8db4c4e83ccf36065d893649c0,default.png,08/07/2002,876-051-8582,student,"Ports are created with the built-in function open_port. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Atoms are used within a program to denote distinguished values. Type classes first appeared in the Haskell programming language.",Computer Engineering,Information Technology,University of the West Indies
Terina,Mcpherson,Terina.Mcpherson@outlook.com,Terina.Mcpherson,pbkdf2:sha512:150000$YCDutxjLB2$2eb202db098b58a442631b1e95a42d2a2d729c4118ada785ccab64684dfbf2b156eb433e0885e5d1f13da83f701cb84f9dc84e902b7cd570e940d53883f58184,default.png,05/27/2001,876-160-2489,student,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Erlang is known for its designs that are well suited for systems. Its main implementation is the Glasgow Haskell Compiler. Type classes first appeared in the Haskell programming language.",Information Science,Cybersecurity,University of the West Indies
Corey,Madden,Corey.Madden@yahoo.com,Corey.Madden,pbkdf2:sha512:150000$HJ1ZAyCOq9$78dcc839a5a70dddf0f3eb5e1e08aaee30c48ece5ffe2415729cc57ed2e6679c541a297582a607aafd8d9aec71955a26be6c7ca60e2c210df781af41e6731140,default.png,05/13/2000,876-520-4724,student,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Make me a sandwich. Where are my pants?",Information Systems,Information Science,Shortwood Teachers College
Hugo,King,Hugo.King@gmail.com,Hugo.King,pbkdf2:sha512:150000$WN6lC4F1hO$0938053147cc1da9ad7f4b4b33814ae4ef226614b6f02514551165682b193f544fd708dcac4576ce690be9710d7656fc7eb584cc52ba56d570646d1e88b85e4d,default.png,03/30/2003,876-962-0980,student,Ports are created with the built-in function open_port. Any element of a tuple can be accessed in constant time. Where are my pants? It is also a garbage-collected runtime system.,Computer Engineering,Information Systems,Northern Caribbean University
Kristofer,Moreno,Kristofer.Moreno@outlook.com,Kristofer.Moreno,pbkdf2:sha512:150000$gdJtXVHb2e$f02e225a79e1c98246fc35a3e233f8f8c9db4fa46e803702f5d441fbd47a7153cdd60cd77e76185fbfceadeb7832f3e6182a19e8b7e14c155fa6b83d5a617a18,default.png,10/26/2002,876-494-6113,student,"In 1989 the building was heavily damaged by fire, but it has since been restored. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Tuples are containers for a fixed number of Erlang data types. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",Computer Science,Information Technology,University of the West Indies
Jayna,Perkins,Jayna.Perkins@yahoo.com,Jayna.Perkins,pbkdf2:sha512:150000$FIKuCwxSkA$5250285c0a53c085e9c5106a419799d0714f6355c3b22af590d1d76702c75ae060a9dc24078d2d0c87f0b31bd289e7c111517b2e9b8bde79f36405d114a9b5ab,default.png,11/12/2001,876-500-3246,student,"He looked inquisitively at his keyboard and wrote another sentence. Any element of a tuple can be accessed in constant time. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Any element of a tuple can be accessed in constant time.",Cybersecurity,Systems & Network Administration,Mico University College
Kris,Middleton,Kris.Middleton@yahoo.com,Kris.Middleton,pbkdf2:sha512:150000$u1fmg7b1mU$613d0fe19531bc7707f4e257b8a80bdef4cfc81ea0a619c6de9306be988fccd0ba4600d8a98fc0d6f9cdec8311026c805cd9cd4551f2121e5724d4fe1cedf90f,default.png,08/11/2000,876-426-7489,student,"Make me a sandwich. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Any element of a tuple can be accessed in constant time.",Information Technology,Computer Science,St.Joseph Teachers College
Oscar,Montoya,Oscar.Montoya@yahoo.com,Oscar.Montoya,pbkdf2:sha512:150000$488IdP5X7m$79a8ab275b1be59771acbcd476cc1efb844ba9791003e5ac120a31c61b1a78b9974af7d22a7e0a4b0ce7cf802c768c0552e0213d1c741ada7b8c9a4f3a2f26c7,default.png,11/16/2001,876-323-7241,student,"Tuples are containers for a fixed number of Erlang data types. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. In 1989 the building was heavily damaged by fire, but it has since been restored. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Information Systems,Cybersecurity,University of the West Indies
Soo,Carrillo,Soo.Carrillo@outlook.com,Soo.Carrillo,pbkdf2:sha512:150000$qXmAe96xSu$aafaa1eaf8316a0a27572060f9f34a9169836218f4f39afe95d0eed04e765d197140dac13cfe4ca87517808c5b61f3a546ee13e85b0a689a05150598571fae65,default.png,03/14/2003,876-141-5850,student,"Erlang is known for its designs that are well suited for systems. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. It is also a garbage-collected runtime system. Tuples are containers for a fixed number of Erlang data types.",Computer Engineering,Systems & Network Administration,University of the Commonwealth Caribbean
Miguel,Mclaughlin,Miguel.Mclaughlin@outlook.com,Miguel.Mclaughlin,pbkdf2:sha512:150000$I4mubWlfmS$d0d3a7c9bccf5481aefd9f615249be3e4f95d12bc16efb904f5aea1ede822bdf2961e00d133718f129164514f934d33edfcdc41c7d0c5ac3b04e3d9f9e3ddceb,default.png,05/28/2003,876-365-6876,student,"Haskell features a type system with type inference and lazy evaluation. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Type classes first appeared in the Haskell programming language. Haskell features a type system with type inference and lazy evaluation.",Systems & Network Administration,Systems & Network Administration,St.Joseph Teachers College
Jude,Hurley,Jude.Hurley@yahoo.com,Jude.Hurley,pbkdf2:sha512:150000$JXSaI5ywbP$993b9a42e6c6e1b11c181b7376e4184c29f179d6e9babe4a538f18bf75ea69065e7c5ed9c9f1cd7fe132abb6ae43ca435537f1c6d7d992a297247d6392fe6a93,default.png,11/06/2002,876-070-2563,student,"She spent her earliest years reading classic literature, and writing poetry. It is also a garbage-collected runtime system. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Do you come here often?",Information Science,Information Technology,Shortwood Teachers College
Anderson,Weeks,Anderson.Weeks@yahoo.com,Anderson.Weeks,pbkdf2:sha512:150000$97JQGptNhC$b47637645862217b920fb9ab9394ca9b69acf02bb87ee944338fec32d2752a29ac0a70331b936e3981943c32cc64e8f0b2dcbcd7ca183104081e20feda073b97,default.png,03/25/2001,876-159-0928,student,"In 1989 the building was heavily damaged by fire, but it has since been restored. He looked inquisitively at his keyboard and wrote another sentence. Do you have any idea why this is not working? Any element of a tuple can be accessed in constant time.",Cybersecurity,Information Systems,University of the Commonwealth Caribbean
Isidra,Haley,Isidra.Haley@yahoo.com,Isidra.Haley,pbkdf2:sha512:150000$juHKeJYJxR$6665fab5940e18105bb0f16fae0beeb026660b8eeebb44437f906041b05c53aca9eec5e5e126ee7db7c0cee92392401f9853bf4062948567e999c4303c32a806,default.png,06/05/1995,876-964-8126,student,"The arguments can be primitive data types or compound data types. Do you have any idea why this is not working? In 1989 the building was heavily damaged by fire, but it has since been restored. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",Cybersecurity,Information Technology,Mico University College
Tuan,Lambert,Tuan.Lambert@gmail.com,Tuan.Lambert,pbkdf2:sha512:150000$OjBVdyRIhI$e1c7b28db838a5e67a20c9082a4a7fd1914c3e094774fc2b603c373b3a43daeb11d9d4ab898e8bcb3ba122c52a8d56f75a69f71975be7bb64177502c646fcd11,default.png,10/10/2004,876-325-9967,student,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. It is also a garbage-collected runtime system. Erlang is a general-purpose, concurrent, functional programming language. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Systems & Network Administration,Information Technology,St.Joseph Teachers College
Roselia,Barr,Roselia.Barr@gmail.com,Roselia.Barr,pbkdf2:sha512:150000$QGXs840uj7$3720bdb84e7812b4f37572fca45d312cfaf5efd3018d36127e8ac1d582ca514ac342319f5daf8973a6f89f54de1f6ebf2fde89ae8fce9634f0c5e353a1a7bcb4,default.png,02/24/1996,876-433-7998,student,"Type classes first appeared in the Haskell programming language. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. The arguments can be primitive data types or compound data types. Where are my pants?",Cybersecurity,Systems & Network Administration,St.Joseph Teachers College
Adolfo,Washington,Adolfo.Washington@gmail.com,Adolfo.Washington,pbkdf2:sha512:150000$OZ6IONTX9E$3ff17fc71c2715cc0c8a0d068f1136f8eb212b3bea09c577c04b2d7defb0c593afca7cdbf739c542cd55fe51f0c643cba779abc51ab7e3fc6307c14729feeafc,default.png,01/23/2002,876-567-5170,student,"He looked inquisitively at his keyboard and wrote another sentence. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",Systems & Network Administration,Information Science,University of Technology
Waltraud,O'brien,Waltraud.O'brien@outlook.com,Waltraud.O'brien,pbkdf2:sha512:150000$06SD5EsIe7$f660338d8388278859b35e47804722507a4f9152b1987a975e5ccdd4305f24a186955820a56766a2db583191084cc237acc1d8016d88f1e29f5ae27adba40cfa,default.png,07/20/1997,876-574-7643,student,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Erlang is known for its designs that are well suited for systems. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Systems & Network Administration,Computer Science,Northern Caribbean University
Emmitt,Casey,Emmitt.Casey@gmail.com,Emmitt.Casey,pbkdf2:sha512:150000$JtrEDLd42W$7afca2daad29569f7055a887e73fe2ae2299bc8ff5449f873f04bd850fb6e6965d37845bce4b70e1689e1f39d30784603c14c1d014dfb89899c9b79807f6e644,default.png,12/09/1994,876-533-6777,student,"Atoms are used within a program to denote distinguished values. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Tuples are containers for a fixed number of Erlang data types. Any element of a tuple can be accessed in constant time.",Information Technology,Computer Science,St.Joseph Teachers College
Angelena,Roman,Angelena.Roman@gmail.com,Angelena.Roman,pbkdf2:sha512:150000$2qd2fel6z6$204bb653626d85b9c6eabf3953985e5f3726004ccda578a4a7709a10ff9f7a8cbbdcc5b6fb66a700a4fbd7eedb099a2a5a6f262793603850de6cb1d9f8465ba5,default.png,12/27/1994,876-450-8073,student,"Where are my pants? Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Do you have any idea why this is not working? Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Technology,Systems & Network Administration,Shortwood Teachers College
Dorathy,Burgess,Dorathy.Burgess@gmail.com,Dorathy.Burgess,pbkdf2:sha512:150000$It2fmofzK1$f79dd53c1021c50d405ce1e4d42242286b35a4b958639973a13636be1e499af4dee086959a9c3a17521bf6c40f53b33c0647ebe31d75fd9b29e152e3ff75aea0,default.png,09/14/1996,876-096-2018,student,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. He looked inquisitively at his keyboard and wrote another sentence. In 1989 the building was heavily damaged by fire, but it has since been restored. Any element of a tuple can be accessed in constant time.",Computer Science,Cybersecurity,Shortwood Teachers College
Epifania,West,Epifania.West@yahoo.com,Epifania.West,pbkdf2:sha512:150000$WX9WA69uLs$02153826474ac2ef76ecf826c0e15be8434d04cbb24d275ee2ff29e159c4e2ed9a3abce28074bab7861c9a6c79ad06d91d5dc83648a3b38ef80e0686b20698ba,default.png,08/10/2004,876-236-9109,student,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. He looked inquisitively at his keyboard and wrote another sentence. Haskell features a type system with type inference and lazy evaluation.",Systems & Network Administration,Computer Engineering,University of the Commonwealth Caribbean
Billy,Hatfield,Billy.Hatfield@outlook.com,Billy.Hatfield,pbkdf2:sha512:150000$sUKr7P1fnk$b97784462cb7dceb39cff66e91538dfce9c60ce93011dbe9189e9f94960f0a789d5076ce36e62dbf0b4bacb6346bb8b0888bbe1e67036bc664538914455fdf82,default.png,03/04/1998,876-012-0627,student,"The arguments can be primitive data types or compound data types. It is also a garbage-collected runtime system. She spent her earliest years reading classic literature, and writing poetry. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Science,Information Technology,University of Technology
Bong,Pratt,Bong.Pratt@outlook.com,Bong.Pratt,pbkdf2:sha512:150000$6r7W2IRDT4$739c9a5e844d39bdcad9146cc0bf91ae5c6a85431faf1678f881a5de7fd36960f881872f0e3ab5c738145a86175c485ce3cff07579cd7a6f92ab646a686208c2,default.png,12/01/1995,876-695-4209,student,"She spent her earliest years reading classic literature, and writing poetry. Type classes first appeared in the Haskell programming language. Make me a sandwich. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",Information Science,Systems & Network Administration,University of the West Indies
Odelia,Walton,Odelia.Walton@gmail.com,Odelia.Walton,pbkdf2:sha512:150000$BHPUsRtyfT$7605b8f6e3c803a07b808ac30b51189bf65082ea481cef41cdc1378e859ae490fc1088629fc0c60c01f8907fb300707b9c57840fea4aa84d1d7a89eeb093af95,default.png,04/29/2004,876-230-9588,student,"Its main implementation is the Glasgow Haskell Compiler. It is also a garbage-collected runtime system. Ports are created with the built-in function open_port. Erlang is a general-purpose, concurrent, functional programming language.",Systems & Network Administration,Information Systems,Mico University College
Haywood,Watts,Haywood.Watts@yahoo.com,Haywood.Watts,pbkdf2:sha512:150000$hKcpXbynlv$4c5985c4a3284906f2f76dea41b6b69d948ec8a7ea6711f6a98546d368a8bbdeb7ed48c05c437e9ff3951d4bff8106267b20d957759fa21209d33810520a38ca,default.png,12/22/1998,876-591-5471,student,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. She spent her earliest years reading classic literature, and writing poetry. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. It is also a garbage-collected runtime system.",Computer Engineering,Systems & Network Administration,St.Joseph Teachers College
Mendy,Hunter,Mendy.Hunter@gmail.com,Mendy.Hunter,pbkdf2:sha512:150000$sH04ptkzpn$aa0f7b64ed620c224015cb40fe755d00fae86b4441aa9c8c82d66f1e0a00f1fbb1e07920054c42cd377cd6e85fb6e83671b08a2eb60057e2afa0c9f5047d24d9,default.png,11/12/1995,876-636-4638,student,"Any element of a tuple can be accessed in constant time. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Atoms are used within a program to denote distinguished values. Where are my pants?",Systems & Network Administration,Information Science,Mico University College
Kyle,Hendricks,Kyle.Hendricks@outlook.com,Kyle.Hendricks,pbkdf2:sha512:150000$1t1fuX2Z1w$c76fb1e872f3b0bea7ad96d293aecce57c2dbc265bc42f54bdc71c8cfe6769c1d2b7295f9992ada53a474f43bc74d8100974a1f9c8ac6bea8b93d59e1d4ca9ef,default.png,10/19/1998,876-320-1974,student,"He looked inquisitively at his keyboard and wrote another sentence. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Erlang is known for its designs that are well suited for systems. Where are my pants?",Cybersecurity,Information Systems,University of the Commonwealth Caribbean
Willow,Gilliam,Willow.Gilliam@yahoo.com,Willow.Gilliam,pbkdf2:sha512:150000$7xQM3L9iXo$a95be53bce9b385362a554de5a6df90d08fc1dcce082ccc35cb0a72ecc244a582e510c1362ca9a35552a45a8281755503bb2160109290b0a1bf38e1a7b75121d,default.png,04/24/1997,876-797-2777,student,Do you have any idea why this is not working? He looked inquisitively at his keyboard and wrote another sentence. Any element of a tuple can be accessed in constant time. Its main implementation is the Glasgow Haskell Compiler.,Information Science,Information Technology,Mico University College
Blythe,Prince,Blythe.Prince@yahoo.com,Blythe.Prince,pbkdf2:sha512:150000$Q4SuV8KZs9$55868fedb5efe38b004b11512eaf0ff5ea7bbc93f930d31b712701a0a3eba4009ecbbfd579286b8a44efd46a09c18db0922480ffcd8ece864fbf3e9850e69ad8,default.png,02/17/1994,876-886-0904,student,Ports are created with the built-in function open_port. It is also a garbage-collected runtime system. Do you come here often? Ports are created with the built-in function open_port.,Computer Science,Information Systems,Mico University College
Sandy,Parks,Sandy.Parks@yahoo.com,Sandy.Parks,pbkdf2:sha512:150000$rSGjKMWcEI$6e70564fc25221ea8f81e0431360ce63156bb2594216667cd1f5fab18684a33f8c0b2ff4ae5210379d55ef0a09f0e9d249ba2ab9401a1828f557edceb8f5d2d6,default.png,03/08/1998,876-325-1563,student,Atoms are used within a program to denote distinguished values. Do you have any idea why this is not working? Ports are created with the built-in function open_port. Tuples are containers for a fixed number of Erlang data types.,Computer Science,Systems & Network Administration,University of the West Indies
Zonia,Phelps,Zonia.Phelps@outlook.com,Zonia.Phelps,pbkdf2:sha512:150000$Q8iePDA6wQ$92de178e50e2c0b1c44b9a39499fd95224e1f013c3e2b4c62bca400cbd562e5f722bcaeffe20fdcb5713118494d7bf65bc6010fe0a3faac985b1ded838aca5fe,default.png,03/12/1998,876-411-4768,student,Any element of a tuple can be accessed in constant time. Tuples are containers for a fixed number of Erlang data types. He looked inquisitively at his keyboard and wrote another sentence. He looked inquisitively at his keyboard and wrote another sentence.,Information Technology,Systems & Network Administration,Northern Caribbean University
Edmund,Burke,Edmund.Burke@gmail.com,Edmund.Burke,pbkdf2:sha512:150000$h461ts1jZ7$b77ad794c5cc5f54e6558d812f4da43dbaa9ea1bdb57e852f035585bc235012d3833605fd8b51fc2fcd0d86fdbdb85af57dde76d0c8904be31958b5e38b30d29,default.png,07/27/1998,876-264-6655,student,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. In 1989 the building was heavily damaged by fire, but it has since been restored. She spent her earliest years reading classic literature, and writing poetry.",Cybersecurity,Information Technology,Shortwood Teachers College
Lakendra,Dixon,Lakendra.Dixon@gmail.com,Lakendra.Dixon,pbkdf2:sha512:150000$modPMYXxNn$83229e0aa34d5fb1585397eb227b6d01122f5ee73261408fa25a6aaa65c478949abe25f72559d667d82cd7ff7409d36deabd6c52f0a5c6fe1ef177bf92510f1e,default.png,12/18/1994,876-543-8931,student,"Ports are used to communicate with the external world. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" He looked inquisitively at his keyboard and wrote another sentence.",Information Science,Systems & Network Administration,University of the West Indies
Elbert,Finch,Elbert.Finch@gmail.com,Elbert.Finch,pbkdf2:sha512:150000$VFO5sSf1Q8$8f791ca86b5c89d27bf1c18da2354244a37b454939a7db92396e3b846e9d9184d288944a952b41938d26954eceace2244d71034d6400b1b930dcaecdc7beae9e,default.png,12/31/1996,876-330-2828,student,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. I don't even care.",Systems & Network Administration,Information Systems,Mico University College
Oliva,Webster,Oliva.Webster@outlook.com,Oliva.Webster,pbkdf2:sha512:150000$f4XIr6xfN9$965451944e4d8b751169f100ccc53f66ffc30e7b7d71c43f48efa6164c435ab20d0ad5c97824dc116bffcc261d9a771003272ea5d26fcb86ebceb8f214c5eeab,default.png,11/15/2003,876-561-1915,student,"Do you have any idea why this is not working? The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The arguments can be primitive data types or compound data types. Do you have any idea why this is not working?",Systems & Network Administration,Information Technology,St.Joseph Teachers College
Ronny,Black,Ronny.Black@outlook.com,Ronny.Black,pbkdf2:sha512:150000$Dgo2X5ywiI$7a4873c4d9f7990f7ef6263a2acb32f2e55015f04425418bb915007b251870f8e23569618173f8e7b4b455eebe04a502a8e206f137a3cd590c20b2683a9b9cd0,default.png,02/16/1999,876-718-2165,student,"Where are my pants? In 1989 the building was heavily damaged by fire, but it has since been restored. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Erlang is known for its designs that are well suited for systems.",Computer Science,Information Systems,University of the Commonwealth Caribbean
Prince,Henderson,Prince.Henderson@gmail.com,Prince.Henderson,pbkdf2:sha512:150000$c2v9pYSJ3b$017de20b45746658962bb6255bf2f3e5e8eb6bad033a40216d7677a8c530728795a75d52343fde697e27c0fe75a20c21bdf207478691101f4370888836134a91,default.png,03/15/2004,876-016-8497,student,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. It is also a garbage-collected runtime system. Erlang is known for its designs that are well suited for systems. Its main implementation is the Glasgow Haskell Compiler.,Information Technology,Computer Science,University of the Commonwealth Caribbean
