firstname,lastname,email,username,password,profile_picture,dob,number,bio,major,minor,school
Willy,Deleon,Willy.Deleon@outlook.com,Martensitic.Ajar,pbkdf2:sha512:150000$s45RvIg4vM$f5c692528054f0d811742482bd9430f16352fff2ba2538b383fa5f9236d8b33d8db5feb3e81f03039d5c2b1c4567e02b534e2df415969c44e7c47709153f324f,default.png,10/03/2004,876-967-7042,"Make me a sandwich. Type classes first appeared in the Haskell programming language. Make me a sandwich. Erlang is known for its designs that are well suited for systems. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",Computer Engineering,Information Technology,University of the West Indies
Twanna,Silva,Twanna.Silva@outlook.com,Croppy.Berthe,pbkdf2:sha512:150000$CZrGMolffp$a20e524eeacb4fd1cb18e76a11751e96d56ce8b6a1a52e27775d0ff60cf183524e5ac405f3ca091d428c0b45608c6d96ae6427fe58ec4d23066ede34a9cc51ca,default.png,02/25/1995,876-334-2801,"Any element of a tuple can be accessed in constant time. Make me a sandwich. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Its main implementation is the Glasgow Haskell Compiler. Erlang is known for its designs that are well suited for systems. They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",Information Science,Cybersecurity,University of the West Indies
Leon,Arnold,Leon.Arnold@yahoo.com,Anterograde.Vibrio,pbkdf2:sha512:150000$0rCzavY3bs$8b4a6e8a96a8f58ac045323c2aacdd219a10cda5f7664b658022357f4b1ba5aef4bd25d3e8759759346f4f2cfc3bf5dc7f6b4c3f04f00e865f686b633aa56a30,default.png,05/07/2004,876-854-7318,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Haskell features a type system with type inference and lazy evaluation. He looked inquisitively at his keyboard and wrote another sentence. In 1989 the building was heavily damaged by fire, but it has since been restored. In 1989 the building was heavily damaged by fire, but it has since been restored. Haskell features a type system with type inference and lazy evaluation.",Computer Engineering,Cybersecurity,St.Joseph Teachers College
Madison,Clarke,Madison.Clarke@gmail.com,Sittidae.Upbrighten,pbkdf2:sha512:150000$IlQEStQDoZ$c965f22cb424b75d5afa906547c137fb4147278d44654c82f44fd112e4ff504d0a138da093166317a3f4a0b7c40208ab31b0484d26441ab4f976df49379b99cf,default.png,07/24/2002,876-852-7816,"Ports are used to communicate with the external world. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Do you have any idea why this is not working? Haskell features a type system with type inference and lazy evaluation. He looked inquisitively at his keyboard and wrote another sentence. Do you have any idea why this is not working?",Cybersecurity,Computer Science,University of the West Indies
Nikia,Vang,Nikia.Vang@yahoo.com,Ascension.Goalkeeping,pbkdf2:sha512:150000$PMrfKjDwGS$b3fe04dbc86102a2005752f2c18ea4366bbcc66f8d7f175eebe6a50474fb72a70904acedf2c9c0f20583c77156a19201fe101b6a675edc3c8ae79af5b49a2c02,default.png,01/04/1997,876-796-7353,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. In 1989 the building was heavily damaged by fire, but it has since been restored. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Its main implementation is the Glasgow Haskell Compiler. The arguments can be primitive data types or compound data types.",Cybersecurity,Information Systems,University of the West Indies
Tory,Hopkins,Tory.Hopkins@yahoo.com,Billowy.Dogged,pbkdf2:sha512:150000$LnIq8ZYegV$7abc7911a1cf713ae0b4d59e990d825a2273c4631a1232d7587f5c7fd4dd7b5368ab230fed70f98c1240e647dc68faeb3f7cce5b9af548daec5097a0ff9aebdc,default.png,05/02/1999,876-203-4168,"I don't even care. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Type classes first appeared in the Haskell programming language. Any element of a tuple can be accessed in constant time. I don't even care. Type classes first appeared in the Haskell programming language.",Computer Engineering,Information Systems,St.Joseph Teachers College
Sona,Stewart,Sona.Stewart@yahoo.com,Unjamming.Catgut,pbkdf2:sha512:150000$pjIadjJkt6$3eed6517ad16498c0f975c3b88a0cce16b17477372a5ec8c11c8e33ac6834c7ecef11722ff7939b179584f2cd55c60c78f2533112a1b69dc67c7b9830733f555,default.png,12/24/2000,876-036-5816,"Do you come here often? Tuples are containers for a fixed number of Erlang data types. Type classes first appeared in the Haskell programming language. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Type classes first appeared in the Haskell programming language. Tuples are containers for a fixed number of Erlang data types.",Information Systems,Information Science,University of Technology
Giovanni,Spears,Giovanni.Spears@outlook.com,Aphotic.Oxides,pbkdf2:sha512:150000$fGE0XTbhrn$5cb09efbb1348208255e868895f96e6f527d8f60d8691e2bd948c2dbe3b78b30f6b331827d809aad9796206626348ed81093f427693793b6f3aad0225f66b142,default.png,04/30/1995,876-450-5134,"Do you have any idea why this is not working? It is also a garbage-collected runtime system. Do you have any idea why this is not working? The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Erlang is a general-purpose, concurrent, functional programming language. Do you come here often?",Information Systems,Systems & Network Administration,University of Technology
Shae,Yates,Shae.Yates@gmail.com,Ammar.Dulosis,pbkdf2:sha512:150000$JaLpkpNaY3$44e274ebd7127fd5a71bfdef453e866a489ea82b72502745c2f0dc1b9669a1a293b2695cf29e13778084c53822076c8621dd3636431eecbcfee571aa2945692a,default.png,07/31/2003,876-204-3246,"Tuples are containers for a fixed number of Erlang data types. Do you have any idea why this is not working? The arguments can be primitive data types or compound data types. He looked inquisitively at his keyboard and wrote another sentence. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Type classes first appeared in the Haskell programming language.",Information Systems,Information Science,Northern Caribbean University
Libbie,Buck,Libbie.Buck@yahoo.com,Telautography.Capelet,pbkdf2:sha512:150000$ufVgnJFtZ7$c3658c7c277081a28b9d5ded55a3d161a04472cb7e652b917aec39296ceddaf4853dd3dfbfc3b393463bec5a373f4c740c50e163c1b96ee3ea297f2883157a4b,default.png,07/14/2001,876-441-5369,"She spent her earliest years reading classic literature, and writing poetry. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. I don't even care. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Computer Engineering,Computer Science,Mico University College
Irwin,Jensen,Irwin.Jensen@yahoo.com,Circulate.Amygdalotome,pbkdf2:sha512:150000$ET3bahjSJj$3aa4bfbc01d8d03960f5dd29fd5095c68489c7dca7571381e9b51d85e0dd06a0c7fe9c17a7ea625fe1b83b21c2c0f67e7333dcbb266b7bff747402792e185a78,default.png,04/22/1995,876-811-3347,Haskell features a type system with type inference and lazy evaluation. Its main implementation is the Glasgow Haskell Compiler. Do you come here often? Atoms are used within a program to denote distinguished values. Any element of a tuple can be accessed in constant time. Haskell features a type system with type inference and lazy evaluation.,Cybersecurity,Information Systems,St.Joseph Teachers College
Terrance,Johnston,Terrance.Johnston@yahoo.com,Videotape.Siennas,pbkdf2:sha512:150000$WD4RAVZtQL$fd1b72b0751853756a0e34d5b0c1e8d23f236c40d8da6d89e699751062d8b776b709db891054874e5994b3fe6c112de75063f73255c3df5d6d989f9f6b3f216a,default.png,08/24/1999,876-637-5422,"In 1989 the building was heavily damaged by fire, but it has since been restored. Any element of a tuple can be accessed in constant time. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Do you have any idea why this is not working?",Information Science,Information Science,University of the Commonwealth Caribbean
Cira,Reyes,Cira.Reyes@yahoo.com,Sculpt.Clairce,pbkdf2:sha512:150000$7bAzZ49pU3$1795ba332cf3e9575a831f5384eb78d367662bb653c0e12efd44edb9e6d5f22600d2b4416a4cc240df23f07d4173857af336267727afbd041a88dd12cdbcbda9,default.png,02/05/2001,876-003-2247,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. She spent her earliest years reading classic literature, and writing poetry. Ports are created with the built-in function open_port. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Ports are created with the built-in function open_port.",Cybersecurity,Information Systems,Northern Caribbean University
Major,Simon,Major.Simon@gmail.com,Desirae.Scirocco,pbkdf2:sha512:150000$tU6eScMsId$4d17a7146a3a6ac3dfb55e3f6bddd351ee7449e400080e82e288f3100610707b434fb867cfd3940e132f17084260e0ef682103e537cdad9bfe6d12d7e5f10ca6,default.png,12/07/2001,876-793-7959,"She spent her earliest years reading classic literature, and writing poetry. Tuples are containers for a fixed number of Erlang data types. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Do you have any idea why this is not working? Do you come here often? Do you come here often?",Computer Science,Cybersecurity,University of Technology
